,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2321,2019032600100409,16,화요일,경인,인천광역시,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,0,25,경상,승용,1,47,경상,20.0,20.0
2322,2019040100100249,10,월요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,0,24,상해없음,승용,0,28,경상,20.0,20.0
2323,2019040700100103,6,일요일,경인,경기도,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,22,상해없음,화물,0,49,경상,20.0,20.0
2324,2019041500100233,10,월요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,1,29,상해없음,화물,0,34,경상,20.0,20.0
2325,2019041500100682,21,월요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,0,37,상해없음,승용,1,52,경상,30.0,30.0
2326,2019041900100070,5,금요일,경인,경기도,사망사고,1,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,0,71,사망,화물,0,54,경상,70.0,70.0
2327,2019042500100548,19,목요일,경인,경기도,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,0,25,상해없음,승용,0,57,경상,20.0,20.0
2328,2019043000100616,22,화요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,0,64,상해없음,승용,1,30,경상,60.0,60.0
2329,2019050200100452,16,목요일,경인,인천광역시,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,0,43,상해없음,승용,0,40,경상,40.0,40.0
2330,2019050500100083,5,일요일,경인,경기도,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,1,24,상해없음,승용,0,59,중상,20.0,20.0
2331,2019051600100733,23,목요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,0,41,상해없음,승용,0,53,경상,,
2332,2019051800100375,13,토요일,경인,인천광역시,중상사고,0,1,4,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,0,59,상해없음,승합,1,36,중상,50.0,50.0
2333,2019052100100178,8,화요일,경인,경기도,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,1,59,상해없음,승용,0,35,경상,50.0,50.0
